CITY NAME>>,<<CITY GMI>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTRY NAME>>,<<COUNTRY GMI
Terrell>>,<<USA-GEO273>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO273
Hudspeth>>,<<USA-TEX229>>,<<Texas>>,<<USA-TEX>>,<<United States>>,<<USA>>,<<USA-TEX229
Telfair>>,<<USA-GEO271>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO271
Plumas>>,<<USA-CAL063>>,<<California>>,<<USA-CAL>>,<<United States>>,<<USA>>,<<USA-CAL063
Placer>>,<<USA-CAL061>>,<<California>>,<<USA-CAL>>,<<United States>>,<<USA>>,<<USA-CAL061
Rutherford>>,<<USA-NCR161>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR161
Rowan>>,<<USA-NCR159>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR159
Robeson>>,<<USA-NCR155>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR155
Rockingham>>,<<USA-NCR157>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR157
Randolph>>,<<USA-NCR151>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR151
Richmond>>,<<USA-NCR153>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR153
Polk>>,<<USA-NCR149>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR149
Pitt>>,<<USA-NCR147>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR147
Person>>,<<USA-NCR145>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR145
Perquimans>>,<<USA-NCR143>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR143
Pender>>,<<USA-NCR141>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR141
Vance>>,<<USA-NCR181>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR181
Wake>>,<<USA-NCR183>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR183
Adams>>,<<USA-WSH001>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH001
Asotin>>,<<USA-WSH003>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH003
Benton>>,<<USA-WSH005>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH005
Martinsville>>,<<USA-VRG690>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG690
Chelan>>,<<USA-WSH007>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH007
Clallam>>,<<USA-WSH009>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH009
Swain>>,<<USA-NCR173>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR173
Transylvania>>,<<USA-NCR175>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR175
Tyrrell>>,<<USA-NCR177>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR177
Union>>,<<USA-NCR179>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR179
Surry>>,<<USA-NCR171>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR171
Columbia>>,<<USA-WSH013>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH013
Manassas>>,<<USA-VRG683>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG683
Clark>>,<<USA-WSH011>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH011
Manassas Park>>,<<USA-VRG685>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG685
Douglas>>,<<USA-WSH017>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH017
Lynchburg>>,<<USA-VRG680>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG680
Cowlitz>>,<<USA-WSH015>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH015
Ferry>>,<<USA-WSH019>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH019
Scotland>>,<<USA-NCR165>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR165
Sampson>>,<<USA-NCR163>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR163
Stokes>>,<<USA-NCR169>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR169
Stanly>>,<<USA-NCR167>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR167
Grant>>,<<USA-WSH025>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH025
Grays Harbor>>,<<USA-WSH027>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH027
Franklin>>,<<USA-WSH021>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH021
Garfield>>,<<USA-WSH023>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH023
Montgomery>>,<<USA-GEO209>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO209
Carson City>>,<<USA-NEV510>>,<<Nevada>>,<<USA-NEV>>,<<United States>>,<<USA>>,<<USA-NEV510
Amador>>,<<USA-CAL005>>,<<California>>,<<USA-CAL>>,<<United States>>,<<USA>>,<<USA-CAL005
Yancey>>,<<USA-NCR199>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR199
Alpine>>,<<USA-CAL003>>,<<California>>,<<USA-CAL>>,<<United States>>,<<USA>>,<<USA-CAL003
Miller>>,<<USA-GEO201>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO201
Alameda>>,<<USA-CAL001>>,<<California>>,<<USA-CAL>>,<<United States>>,<<USA>>,<<USA-CAL001
Monroe>>,<<USA-GEO207>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO207
Wilson>>,<<USA-NCR195>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR195
Mitchell>>,<<USA-GEO205>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO205
Yadkin>>,<<USA-NCR197>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR197
Calaveras>>,<<USA-CAL009>>,<<California>>,<<USA-CAL>>,<<United States>>,<<USA>>,<<USA-CAL009
Island>>,<<USA-WSH029>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH029
Butte>>,<<USA-CAL007>>,<<California>>,<<USA-CAL>>,<<United States>>,<<USA>>,<<USA-CAL007
Klickitat>>,<<USA-WSH039>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH039
Kittitas>>,<<USA-WSH037>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH037
Kitsap>>,<<USA-WSH035>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH035
King>>,<<USA-WSH033>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH033
Wilkes>>,<<USA-NCR193>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR193
Jefferson>>,<<USA-WSH031>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH031
Wayne>>,<<USA-NCR191>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR191
Murray>>,<<USA-GEO213>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO213
Muscogee>>,<<USA-GEO215>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO215
Watauga>>,<<USA-NCR189>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR189
Newton>>,<<USA-GEO217>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO217
Washington>>,<<USA-NCR187>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR187
Oconee>>,<<USA-GEO219>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO219
Warren>>,<<USA-NCR185>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR185
Morgan>>,<<USA-GEO211>>,<<Georgia>>,<<USA-GEO>>,<<United States>>,<<USA>>,<<USA-GEO211
Lincoln>>,<<USA-WSH043>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH043
Mason>>,<<USA-WSH045>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH045
Okanogan>>,<<USA-WSH047>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH047
Pacific>>,<<USA-WSH049>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH049
Lewis>>,<<USA-WSH041>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH041
Skagit>>,<<USA-WSH057>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH057
San Juan>>,<<USA-WSH055>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH055
Skamania>>,<<USA-WSH059>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH059
Pierce>>,<<USA-WSH053>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH053
Pend Oreille>>,<<USA-WSH051>>,<<Washington>>,<<USA-WSH>>,<<United States>>,<<USA>>,<<USA-WSH051
Somerset>>,<<USA-MRY039>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY039
Chase>>,<<USA-KAN017>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN017
St. Mary's>>,<<USA-MRY037>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY037
Butler>>,<<USA-KAN015>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN015
Brown>>,<<USA-KAN013>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN013
Bourbon>>,<<USA-KAN011>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN011
Montgomery>>,<<USA-MRY031>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY031
Queen Anne's>>,<<USA-MRY035>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY035
Prince George's>>,<<USA-MRY033>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY033
Franklin>>,<<USA-VRG620>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG620
Chautauqua>>,<<USA-KAN019>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN019
Worcester>>,<<USA-MRY047>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY047
Clark>>,<<USA-KAN025>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN025
Clay>>,<<USA-KAN027>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN027
Cherokee>>,<<USA-KAN021>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN021
Cheyenne>>,<<USA-KAN023>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN023
Talbot>>,<<USA-MRY041>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY041
Washington>>,<<USA-MRY043>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY043
Wicomico>>,<<USA-MRY045>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY045
Fredericksburg>>,<<USA-VRG630>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG630
Cloud>>,<<USA-KAN029>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN029
Aitkin>>,<<USA-MNN001>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN001
Fairfax>>,<<USA-VRG600>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG600
Anoka>>,<<USA-MNN003>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN003
Becker>>,<<USA-MNN005>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN005
Beltrami>>,<<USA-MNN007>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN007
Benton>>,<<USA-MNN009>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN009
Falls Church>>,<<USA-VRG610>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG610
Big Stone>>,<<USA-MNN011>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN011
Allen>>,<<USA-KAN001>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN001
Anderson>>,<<USA-KAN003>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN003
Brown>>,<<USA-MNN015>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN015
Atchison>>,<<USA-KAN005>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN005
Blue Earth>>,<<USA-MNN013>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN013
Carver>>,<<USA-MNN019>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN019
Carlton>>,<<USA-MNN017>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN017
Barber>>,<<USA-KAN007>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN007
Barton>>,<<USA-KAN009>>,<<Kansas>>,<<USA-KAN>>,<<United States>>,<<USA>>,<<USA-KAN009
Johnston>>,<<USA-NCR101>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR101
Clearwater>>,<<USA-MNN029>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN029
Jones>>,<<USA-NCR103>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR103
Lee>>,<<USA-NCR105>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR105
Chisago>>,<<USA-MNN025>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN025
Lenoir>>,<<USA-NCR107>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR107
Clay>>,<<USA-MNN027>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN027
Lincoln>>,<<USA-NCR109>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR109
Cass>>,<<USA-MNN021>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN021
Chippewa>>,<<USA-MNN023>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN023
Harrisonburg>>,<<USA-VRG660>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG660
Macon>>,<<USA-NCR113>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR113
Dodge>>,<<USA-MNN039>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN039
Allegany>>,<<USA-MRY001>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY001
McDowell>>,<<USA-NCR111>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR111
Dakota>>,<<USA-MNN037>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN037
Martin>>,<<USA-NCR117>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR117
Anne Arundel>>,<<USA-MRY003>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY003
Crow Wing>>,<<USA-MNN035>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN035
Madison>>,<<USA-NCR115>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR115
Baltimore>>,<<USA-MRY005>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY005
Cottonwood>>,<<USA-MNN033>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN033
Cook>>,<<USA-MNN031>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN031
Mecklenburg>>,<<USA-NCR119>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR119
Calvert>>,<<USA-MRY009>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY009
Lexington>>,<<USA-VRG678>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG678
Douglas>>,<<USA-MNN041>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN041
Hopewell>>,<<USA-VRG670>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG670
Montgomery>>,<<USA-NCR123>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR123
Carroll>>,<<USA-MRY013>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY013
Caroline>>,<<USA-MRY011>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY011
Moore>>,<<USA-NCR125>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR125
Mitchell>>,<<USA-NCR121>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR121
Faribault>>,<<USA-MNN043>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN043
Dorchester>>,<<USA-MRY019>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY019
Fillmore>>,<<USA-MNN045>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN045
Nash>>,<<USA-NCR127>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR127
Charles>>,<<USA-MRY017>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY017
Freeborn>>,<<USA-MNN047>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN047
New Hanover>>,<<USA-NCR129>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR129
Cecil>>,<<USA-MRY015>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY015
Goodhue>>,<<USA-MNN049>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN049
Grant>>,<<USA-MNN051>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN051
Galax>>,<<USA-VRG640>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG640
Frederick>>,<<USA-MRY021>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY021
Orange>>,<<USA-NCR135>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR135
Garrett>>,<<USA-MRY023>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY023
Onslow>>,<<USA-NCR133>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR133
Northampton>>,<<USA-NCR131>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR131
Houston>>,<<USA-MNN055>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN055
Kent>>,<<USA-MRY029>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY029
Hennepin>>,<<USA-MNN053>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN053
Isanti>>,<<USA-MNN059>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN059
Pasquotank>>,<<USA-NCR139>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR139
Harford>>,<<USA-MRY025>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY025
Hubbard>>,<<USA-MNN057>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN057
Pamlico>>,<<USA-NCR137>>,<<North Carolina>>,<<USA-NCR>>,<<United States>>,<<USA>>,<<USA-NCR137
Howard>>,<<USA-MRY027>>,<<Maryland>>,<<USA-MRY>>,<<United States>>,<<USA>>,<<USA-MRY027
Jackson>>,<<USA-MNN063>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN063
Hampton>>,<<USA-VRG650>>,<<Virginia>>,<<USA-VRG>>,<<United States>>,<<USA>>,<<USA-VRG650
Itasca>>,<<USA-MNN061>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN061
Lac qui Parle>>,<<USA-MNN073>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN073
DeKalb>>,<<USA-MOS063>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS063
Koochiching>>,<<USA-MNN071>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN071
Dent>>,<<USA-MOS065>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS065
Daviess>>,<<USA-MOS061>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS061
Dallas>>,<<USA-MOS059>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS059
Kittson>>,<<USA-MNN069>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN069
Kandiyohi>>,<<USA-MNN067>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN067
Crawford>>,<<USA-MOS055>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS055
Kanabec>>,<<USA-MNN065>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN065
Dade>>,<<USA-MOS057>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS057
Cooper>>,<<USA-MOS053>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS053
Lyon>>,<<USA-MNN083>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN083
McLeod>>,<<USA-MNN085>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN085
Cole>>,<<USA-MOS051>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS051
Lincoln>>,<<USA-MNN081>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN081
Le Sueur>>,<<USA-MNN079>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN079
Clinton>>,<<USA-MOS049>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS049
Lake>>,<<USA-MNN075>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN075
Clay>>,<<USA-MOS047>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS047
Lake of the Woods>>,<<USA-MNN077>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN077
Clark>>,<<USA-MOS045>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS045
Harrison>>,<<USA-MOS081>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS081
Martin>>,<<USA-MNN091>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN091
Henry>>,<<USA-MOS083>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS083
Mille Lacs>>,<<USA-MNN095>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN095
Hickory>>,<<USA-MOS085>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS085
Meeker>>,<<USA-MNN093>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN093
Holt>>,<<USA-MOS087>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS087
Marshall>>,<<USA-MNN089>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN089
Greene>>,<<USA-MOS077>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS077
Mahnomen>>,<<USA-MNN087>>,<<Minnesota>>,<<USA-MNN>>,<<United States>>,<<USA>>,<<USA-MNN087
Grundy>>,<<USA-MOS079>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS079
Franklin>>,<<USA-MOS071>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS071
Gentry>>,<<USA-MOS075>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS075
Gasconade>>,<<USA-MOS073>>,<<Missouri>>,<<USA-MOS>>,<<United States>>,<<USA>>,<<USA-MOS073
