PREFECTURE NAME>>,<<CHINESE NAME>>,<<PREFECTURE GMI
Nedrow>>,<<Nedrow>>,<<3606749726
Nesconset>>,<<Nesconset>>,<<3610349825
New Berlin>>,<<New Berlin(Chenango)>>,<<3601749946
New City>>,<<New City>>,<<3608750100
New Hartford>>,<<New Hartford(Oneida)>>,<<3606550298
New Haven>>,<<New Haven(Oswego)>>,<<3607550331
New Hempstead>>,<<New Hempstead>>,<<3608750353
New Hyde Park>>,<<New Hyde Park>>,<<3605950397
New Milford>>,<<New Milford(Orange)>>,<<3607150529
New Paltz>>,<<New Paltz>>,<<3611150551
New Rochelle>>,<<New Rochelle>>,<<3611950617
New Square>>,<<New Square>>,<<3608750705
New Woodstock>>,<<New Woodstock>>,<<3605350870
New York>>,<<New York(New York)>>,<<3606151000
Newark>>,<<Newark(Wayne)>>,<<3611749891
Newark Valley>>,<<Newark Valley>>,<<3610749902
Newburgh>>,<<Newburgh(Orange)>>,<<3607150034
Newcomb>>,<<Newcomb(Essex)>>,<<3603150133
Newfane>>,<<Newfane(Niagara)>>,<<3606350221
Newport>>,<<Newport(Herkimer)>>,<<3604350573
Newton Falls>>,<<Newton Falls(St. Lawrence)>>,<<3608950749
Niagara Falls>>,<<Niagara Falls>>,<<3606351055
Nichols>>,<<Nichols(Tioga)>>,<<3610751110
Nicholville>>,<<Nicholville>>,<<3608951154
Niskayuna>>,<<Niskayuna>>,<<3609351275
Nissequogue>>,<<Nissequogue>>,<<3610351286
Norfolk>>,<<Norfolk(St. Lawrence)>>,<<3608951319
North Babylon>>,<<North Babylon>>,<<3610351440
North Bellmore>>,<<North Bellmore>>,<<3605951517
North Bellport>>,<<North Bellport>>,<<3610351528
North Chili>>,<<North Chili>>,<<3605551737
North Collins>>,<<North Collins>>,<<3602951792
North Creek>>,<<North Creek(Warren)>>,<<3611351847
North Evans>>,<<North Evans>>,<<3602951968
North Massapequa>>,<<North Massapequa>>,<<3605953253
North Merrick>>,<<North Merrick>>,<<3605953264
North Ridge>>,<<North Ridge>>,<<3606353429
North Rose>>,<<North Rose>>,<<3611753462
North Syracuse>>,<<North Syracuse>>,<<3606753660
North Tarrytown>>,<<North Tarrytown>>,<<3611953671
North Tonawanda>>,<<North Tonawanda>>,<<3606353682
North Valley Stream>>,<<North Valley Stream>>,<<3605953748
North White Plains>>,<<North White Plains>>,<<3611953869
Northport>>,<<Northport(Suffolk)>>,<<3610353396
Northville>>,<<Northville(Fulton)>>,<<3603553770
Norwich>>,<<Norwich(Chenango)>>,<<3601753979
Norwood>>,<<Norwood(St. Lawrence)>>,<<3608954012
Nunda>>,<<Nunda(Livingston)>>,<<3605154078
Nyack>>,<<Nyack>>,<<3608754100
Oak Beach>>,<<Oak Beach>>,<<3610354111
Oakdale>>,<<Oakdale(Suffolk)>>,<<3610354144
Oakfield>>,<<Oakfield(Genesee)>>,<<3603754155
Ocean Beach>>,<<Ocean Beach>>,<<3610354430
Oceanside>>,<<Oceanside(Nassau)>>,<<3605954441
Ogdensburg>>,<<Ogdensburg(St. Lawrence)>>,<<3608954485
Olcott>>,<<Olcott>>,<<3606354540
Old Field>>,<<Old Field>>,<<3610354617
Old Forge>>,<<Old Forge(Herkimer)>>,<<3604354639
Olean>>,<<Olean(Cattaraugus)>>,<<3600954716
Oneida>>,<<Oneida(Madison)>>,<<3605354837
Oneonta>>,<<Oneonta(Otsego)>>,<<3607754881
Orangeburg>>,<<Orangeburg(Rockland)>>,<<3608755167
Orchard Park>>,<<Orchard Park>>,<<3602955266
Oriskany>>,<<Oriskany(Oneida)>>,<<3606555365
Ossining>>,<<Ossining>>,<<3611955530
Oswego>>,<<Oswego(Oswego)>>,<<3607555574
Ovid>>,<<Ovid(Seneca)>>,<<3609955816
Owego>>,<<Owego(Tioga)>>,<<3610755882
Oxford>>,<<Oxford(Chenango)>>,<<3601755948
Oyster Bay>>,<<Oyster Bay>>,<<3605955992
Painted Post>>,<<Painted Post>>,<<3610156088
Palenville>>,<<Palenville>>,<<3603956132
Palisades>>,<<Palisades(Rockland)>>,<<3608756165
Parish>>,<<Parish>>,<<3607556341
Parishville>>,<<Parishville>>,<<3608956363
Patchogue>>,<<Patchogue>>,<<3610356660
Patterson>>,<<Patterson(Putnam)>>,<<3607956737
Pavilion>>,<<Pavilion>>,<<3603756781
Pawling>>,<<Pawling>>,<<3602756814
Pearl River>>,<<Pearl River(Rockland)>>,<<3608756902
Peekskill>>,<<Peekskill>>,<<3611956979
Pekin>>,<<Pekin(Niagara)>>,<<3606356990
Pelham>>,<<Pelham(Westchester)>>,<<3611957001
Pelham Manor>>,<<Pelham Manor>>,<<3611957023
Pendleton>>,<<Pendleton(Niagara)>>,<<3606357100
Pendleton Center>>,<<Pendleton Center>>,<<3606357122
Penn Yan>>,<<Penn Yan>>,<<3612357177
Peru>>,<<Peru(Clinton)>>,<<3601957364
Petersburg>>,<<Petersburg(Rensselaer)>>,<<3608357430
Phelps>>,<<Phelps(Ontario)>>,<<3606957518
Philadelphia>>,<<Philadelphia(Jefferson)>>,<<3604557551
Phoenicia>>,<<Phoenicia>>,<<3611157650
Phoenix>>,<<Phoenix(Oswego)>>,<<3607557661
Piermont>>,<<Piermont>>,<<3608757749
Pine Aire>>,<<Pine Aire>>,<<3610357947
Pine Bush>>,<<Pine Bush>>,<<3607157980
Pine Island>>,<<Pine Island(Orange)>>,<<3607158079
Pine Valley>>,<<Pine Valley(Chemung)>>,<<3601558189
Plainview>>,<<Plainview(Nassau)>>,<<3605958442
Plattsburgh>>,<<Plattsburgh>>,<<3601958574
Pleasantville>>,<<Pleasantville(Westchester)>>,<<3611958728
Point Lookout>>,<<Point Lookout>>,<<3605958849
Poland>>,<<Poland(Herkimer)>>,<<3604358937
Pomona Heights>>,<<Pomona Heights>>,<<3608759003
Pond Eddy>>,<<Pond Eddy>>,<<3610559069
Poquott>>,<<Poquott>>,<<3610359157
Port Chester>>,<<Port Chester>>,<<3611959223
Port Henry>>,<<Port Henry>>,<<3603159333
Port Jefferson>>,<<Port Jefferson(Suffolk)>>,<<3610359355
Port Jefferson Station>>,<<Port Jefferson Station>>,<<3610359377
Port Jervis>>,<<Port Jervis>>,<<3607159388
Port Kent>>,<<Port Kent>>,<<3603159399
Port Washington>>,<<Port Washington(Nassau)>>,<<3605959520
Portageville>>,<<Portageville(Wyoming)>>,<<3612159190
Porter Center>>,<<Porter Center>>,<<3606359278
Portville>>,<<Portville>>,<<3600959498
Potsdam>>,<<Potsdam>>,<<3608959564
Poughkeepsie>>,<<Poughkeepsie>>,<<3602759641
Pound Ridge>>,<<Pound Ridge>>,<<3611959674
Prattsburg>>,<<Prattsburg>>,<<3610159707
Prattsville>>,<<Prattsville>>,<<3603959740
Preble>>,<<Preble>>,<<3602359762
Purchase>>,<<Purchase>>,<<3611960026
Ramapo>>,<<Ramapo>>,<<3608760499
Randolph>>,<<Randolph(Cattaraugus)>>,<<3600960576
Ravena>>,<<Ravena>>,<<3600160675
Raymondville>>,<<Raymondville(St. Lawrence)>>,<<3608960730
Red Hook>>,<<Red Hook>>,<<3602760895
Redwood>>,<<Redwood(Jefferson)>>,<<3604561016
Remsen>>,<<Remsen(Oneida)>>,<<3606561115
Rensselaer>>,<<Rensselaer(Rensselaer)>>,<<3608361148
Richfield Springs>>,<<Richfield Springs>>,<<3607761489
Richmondville>>,<<Richmondville>>,<<3609561588
Richville>>,<<Richville(St. Lawrence)>>,<<3608961621
Ridgewood>>,<<Ridgewood(Niagara)>>,<<3606361764
Ripley>>,<<Ripley(Chautauqua)>>,<<3601361874
Riverhead>>,<<Riverhead>>,<<3610361973
Rochester>>,<<Rochester(Monroe)>>,<<3605563000
Rockville Centre>>,<<Rockville Centre>>,<<3605963264
Rocky Point>>,<<Rocky Point(Suffolk)>>,<<3610363319
Roe Park>>,<<Roe Park>>,<<3611963352
Rome>>,<<Rome(Oneida)>>,<<3606563418
Ronkonkoma>>,<<Ronkonkoma>>,<<3610363473
Roosevelt>>,<<Roosevelt(Nassau)>>,<<3605963506
Roosevelt Beach>>,<<Roosevelt Beach>>,<<3606363517
Roscoe>>,<<Roscoe(Sullivan)>>,<<3610563583
Rosendale>>,<<Rosendale(Ulster)>>,<<3611163725
Roslyn Heights>>,<<Roslyn Heights>>,<<3605963814
Rotterdam>>,<<Rotterdam>>,<<3609363924
Rouses Point>>,<<Rouses Point>>,<<3601963979
Roxbury>>,<<Roxbury(Delaware)>>,<<3602563990
Rye>>,<<Rye(Westchester)>>,<<3611964309
Sackets Harbor>>,<<Sackets Harbor>>,<<3604564408
Saint James>>,<<Saint James(Suffolk)>>,<<3610364584
Saint Johnsburg>>,<<Saint Johnsburg>>,<<3606364617
Saint Regis Falls>>,<<Saint Regis Falls>>,<<3603364716
Salamanca>>,<<Salamanca>>,<<3600964749
Salem>>,<<Salem(Washington)>>,<<3611564771
Salt Point>>,<<Salt Point>>,<<3602764892
Saltaire>>,<<Saltaire>>,<<3610364881
San Remo>>,<<San Remo>>,<<3610365156
Sanborn>>,<<Sanborn(Niagara)>>,<<3606364958
Sandy Beach>>,<<Sandy Beach>>,<<3602965057
Sangerfield>>,<<Sangerfield>>,<<3606565123
Santa Clara>>,<<Santa Clara(Franklin)>>,<<3603365167
Saranac>>,<<Saranac(Clinton)>>,<<3601965200
Saranac Lake>>,<<Saranac Lake>>,<<3603365233
Saratoga Springs>>,<<Saratoga Springs>>,<<3609165255
Saugerties>>,<<Saugerties>>,<<3611165288
Sauquoit>>,<<Sauquoit>>,<<3606565321
Sayville>>,<<Sayville>>,<<3610365409
Scarborough>>,<<Scarborough>>,<<3611965420
Scarsdale>>,<<Scarsdale(Westchester)>>,<<3611965431
Schenectady>>,<<Schenectady>>,<<3609365508
Schoharie>>,<<Schoharie>>,<<3609565585
Schroon Lake>>,<<Schroon Lake>>,<<3603165640
Schuyler Lake>>,<<Schuyler Lake>>,<<3607765739
Scotia>>,<<Scotia(Schenectady)>>,<<3609365893
Scranton>>,<<Scranton(Erie)>>,<<3602965970
Seaford>>,<<Seaford(Nassau)>>,<<3605966058
Selden>>,<<Selden(Suffolk)>>,<<3610366212
Seneca Falls>>,<<Seneca Falls>>,<<3609966322
Setauket>>,<<Setauket>>,<<3610366465
Shawnee>>,<<Shawnee(Niagara)>>,<<3606366685
Sherburne>>,<<Sherburne(Chenango)>>,<<3601766883
Sherman>>,<<Sherman(Chautauqua)>>,<<3601366949
Shortsville>>,<<Shortsville>>,<<3606967257
Sidney>>,<<Sidney(Delaware)>>,<<3602567334
Sidney Center>>,<<Sidney Center>>,<<3602567356
Silver Creek>>,<<Silver Creek(Chautauqua)>>,<<3601367411
Sinclairville>>,<<Sinclairville>>,<<3601367488
Skaneateles>>,<<Skaneateles>>,<<3606767510
Slaterville Springs>>,<<Slaterville Springs>>,<<3610967631
Sloatsburg>>,<<Sloatsburg>>,<<3608767708
Smithtown>>,<<Smithtown>>,<<3610367851
Sodus>>,<<Sodus>>,<<3611768209
Solvay>>,<<Solvay>>,<<3606768286
Sound Beach>>,<<Sound Beach>>,<<3610368374
South Colton>>,<<South Colton>>,<<3608968814
South Dayton>>,<<South Dayton>>,<<3600968891
South Farmingdale>>,<<South Farmingdale>>,<<3605969001
South Huntington>>,<<South Huntington>>,<<3610369254
South Lockport>>,<<South Lockport>>,<<3606369386
South New Berlin>>,<<South New Berlin>>,<<3601769408
South Nyack>>,<<South Nyack>>,<<3608769441
South Otselic>>,<<South Otselic>>,<<3601769496
South Salem>>,<<South Salem>>,<<3611969694
South Wilson>>,<<South Wilson>>,<<3606370002
Southampton>>,<<Southampton(Suffolk)>>,<<3610368462
Southfields>>,<<Southfields>>,<<3607169012
Southold>>,<<Southold>>,<<3610369452
Sparkill>>,<<Sparkill>>,<<3608770068
Spencer>>,<<Spencer(Tioga)>>,<<3610770167
Spring Brook>>,<<Spring Brook>>,<<3602970288
Spring Valley>>,<<Spring Valley(Rockland)>>,<<3608770420
Springville>>,<<Springville(Erie)>>,<<3602970442
Springwater>>,<<Springwater>>,<<3605170464
Staatsburg>>,<<Staatsburg>>,<<3602770552
Stamford>>,<<Stamford(Delaware)>>,<<3602570618
Star Lake>>,<<Star Lake>>,<<3608970849
Stella Niagara>>,<<Stella Niagara>>,<<3606371069
Sterling Forest>>,<<Sterling Forest>>,<<3607171168
Stony Brook>>,<<Stony Brook>>,<<3610371608
Suffern>>,<<Suffern>>,<<3608771894
Swormville>>,<<Swormville>>,<<3602972499
Syosset>>,<<Syosset>>,<<3605972554
Syracuse>>,<<Syracuse(Onondaga)>>,<<3606773000
Tallman>>,<<Tallman(Rockland)>>,<<3608773121
Tappan>>,<<Tappan>>,<<3608773154
Tarrytown>>,<<Tarrytown(Westchester)>>,<<3611973176
Terryville>>,<<Terryville>>,<<3610373352
The Glen>>,<<The Glen>>,<<3611373440
Theresa>>,<<Theresa>>,<<3604573517
Thiells>>,<<Thiells>>,<<3608773583
Thornwood>>,<<Thornwood>>,<<3611973715
Ticonderoga>>,<<Ticonderoga>>,<<3603173880
Toddville>>,<<Toddville(Westchester)>>,<<3611974045
Tomkins Cove>>,<<Tomkins Cove>>,<<3608774089
Tonawanda>>,<<Tonawanda>>,<<3602974183
Towers Corners>>,<<Towers Corners>>,<<3606375080
Troy>>,<<Troy(Rensselaer)>>,<<3608375484
Trumansburg>>,<<Trumansburg>>,<<3610975506
Tuckahoe>>,<<Tuckahoe>>,<<3611975583
Tully>>,<<Tully>>,<<3606775627
Tupper Lake>>,<<Tupper Lake>>,<<3603375671
Tuxedo Park>>,<<Tuxedo Park>>,<<3607175803
Twin Lakes Village>>,<<Twin Lakes Village>>,<<3611975836
Unadilla>>,<<Unadilla(Otsego)>>,<<3607776001
Union Springs>>,<<Union Springs(Cayuga)>>,<<3601176155
Uniondale>>,<<Uniondale(Nassau)>>,<<3605976089
Unionville>>,<<Unionville(Orange)>>,<<3607176210
Upper Brookville>>,<<Upper Brookville>>,<<3605976331
Upper Nyack>>,<<Upper Nyack>>,<<3608776386
Utica>>,<<Utica(Oneida)>>,<<3606576540
Valhalla>>,<<Valhalla(Westchester)>>,<<3611976639
Valley Cottage>>,<<Valley Cottage>>,<<3608776661
Valley Falls>>,<<Valley Falls(Rensselaer)>>,<<3608376672
Valley Stream>>,<<Valley Stream>>,<<3605976705
Van Cortlandtville>>,<<Van Cortlandtville>>,<<3611976815
Verplanck>>,<<Verplanck>>,<<3611977211
Vestal>>,<<Vestal>>,<<3600777244
Victory>>,<<Victory(Cayuga)>>,<<3601177409
Village of the Branch>>,<<Village of the Branch>>,<<3610377519
Viola>>,<<Viola(Rockland)>>,<<3608777574
Vista>>,<<Vista(Westchester)>>,<<3611977618
Voorheesville>>,<<Voorheesville>>,<<3600177684
Waccabuc>>,<<Waccabuc>>,<<3611977717
Waddington>>,<<Waddington>>,<<3608977728
Walden>>,<<Walden(Orange)>>,<<3607177849
Walton>>,<<Walton(Delaware)>>,<<3602578036
Wampsville>>,<<Wampsville>>,<<3605378113
Wanakah>>,<<Wanakah>>,<<3602978124
Wantagh>>,<<Wantagh>>,<<3605978146
Wappingers Falls>>,<<Wappingers Falls>>,<<3602778168
Warrens Corners>>,<<Warrens Corners>>,<<3606378322
Warrensburg>>,<<Warrensburg(Warren)>>,<<3611378289
Warsaw>>,<<Warsaw(Wyoming)>>,<<3612178333
Warwick>>,<<Warwick(Orange)>>,<<3607178355
Water Valley>>,<<Water Valley(Erie)>>,<<3602978652
Waterloo>>,<<Waterloo(Seneca)>>,<<3609978553
Watertown>>,<<Watertown(Jefferson)>>,<<3604578608
Watervliet>>,<<Watervliet>>,<<3600178674
Watkins Glen>>,<<Watkins Glen>>,<<3609778696
Waverly>>,<<Waverly(Tioga)>>,<<3610778806
Wayland>>,<<Wayland(Steuben)>>,<<3610178850
Webster>>,<<Webster(Monroe)>>,<<3605578960
Websters Corners>>,<<Websters Corners>>,<<3602978993
Wells>>,<<Wells(Hamilton)>>,<<3604179048
Wellsburg>>,<<Wellsburg(Chemung)>>,<<3601579081
Wellsville>>,<<Wellsville(Allegany)>>,<<3600379092
Wendelville>>,<<Wendelville>>,<<3606379147
West Babylon>>,<<West Babylon>>,<<3610379246
West Carthage>>,<<West Carthage>>,<<3604579499
West Chazy>>,<<West Chazy>>,<<3601979543
West End>>,<<West End(Oswego)>>,<<3607579796
West Falls>>,<<West Falls>>,<<3602979917
West Gilgo Beach>>,<<West Gilgo Beach>>,<<3610380071
West Haverstraw>>,<<West Haverstraw>>,<<3608780203
West Hempstead>>,<<West Hempstead>>,<<3605980225
West Hills>>,<<West Hills>>,<<3610380258
West Islip>>,<<West Islip>>,<<3610380302
West Nyack>>,<<West Nyack>>,<<3608780599
West Point>>,<<West Point(Orange)>>,<<3607180747
West Sayville>>,<<West Sayville>>,<<3610380885
West Seneca>>,<<West Seneca>>,<<3602980907
West Winfield>>,<<West Winfield>>,<<3604381292
Westbury>>,<<Westbury>>,<<3605979444
Westerlo>>,<<Westerlo>>,<<3600179840
Westfield>>,<<Westfield(Chautauqua)>>,<<3601379939
Westport>>,<<Westport(Essex)>>,<<3603180764
White Plains>>,<<White Plains(Westchester)>>,<<3611981677
Whitehall>>,<<Whitehall(Washington)>>,<<3611581622
Whitesboro>>,<<Whitesboro(Oneida)>>,<<3606581710
Whitesville>>,<<Whitesville(Allegany)>>,<<3600381776
Whitney Point>>,<<Whitney Point>>,<<3600781831
Williamson>>,<<Williamson(Wayne)>>,<<3611782029
Williamstown>>,<<Williamstown(Oswego)>>,<<3607582062
Williamsville>>,<<Williamsville(Erie)>>,<<3602982084
Willsboro Point>>,<<Willsboro Point>>,<<3603182282
Wilson>>,<<Wilson(Niagara)>>,<<3606382359
Windom>>,<<Windom(Erie)>>,<<3602982513
Wisner>>,<<Wisner(Orange)>>,<<3607182645
Wolcott>>,<<Wolcott(Wayne)>>,<<3611782678
Woodbourne>>,<<Woodbourne>>,<<3610582733
Woodbury>>,<<Woodbury(Nassau)>>,<<3605982744
Woodlawn>>,<<Woodlawn(Erie)>>,<<3602982909
Woodmere>>,<<Woodmere(Nassau)>>,<<3605982942
Woodridge>>,<<Woodridge(Sullivan)>>,<<3610582953
Worcester>>,<<Worcester(Otsego)>>,<<3607783118
Wrights Corners>>,<<Wrights Corners>>,<<3606383217
Wyandanch>>,<<Wyandanch>>,<<3610383294
Yonkers>>,<<Yonkers>>,<<3611984000
Yorktown Heights>>,<<Yorktown Heights>>,<<3611984088
Youngstown>>,<<Youngstown(Niagara)>>,<<3606384143
De Kalb Junction>>,<<De Kalb Junction>>,<<3608920049
Tahawus>>,<<Tahawus>>,<<3603173088
Sabattis>>,<<Sabattis>>,<<3604164364
Minerva>>,<<Minerva(Essex)>>,<<3603147658
Raquette Lake>>,<<Raquette Lake>>,<<3604160620
Inlet>>,<<Inlet>>,<<3604137484
Fort Edward>>,<<Fort Edward>>,<<3611526770
Fernwood>>,<<Fernwood(Saratoga)>>,<<3609125681
Colonie>>,<<Colonie>>,<<3600117332
Cobleskill>>,<<Cobleskill>>,<<3609516628
Mohawk>>,<<Mohawk(Herkimer)>>,<<3604347823
Hurley>>,<<Hurley(Ulster)>>,<<3611137132
Hyde Park>>,<<Hyde Park(Dutchess)>>,<<3602737198
Dover Plains>>,<<Dover Plains>>,<<3602720841
East Branch>>,<<East Branch>>,<<3602521721
Canastota>>,<<Canastota>>,<<3605312188
Fayetteville>>,<<Fayetteville(Onondaga)>>,<<3606725527
Vestal Center>>,<<Vestal Center>>,<<3600777266
Ludlowville>>,<<Ludlowville>>,<<3610943764
Dresden>>,<<Dresden(Yates)>>,<<3612320896
Southport>>,<<Southport(Chemung)>>,<<3601569606
Pulaski>>,<<Pulaski(Oswego)>>,<<3607559960
Mannsville>>,<<Mannsville(Jefferson)>>,<<3604545073
Aberdeen>>,<<Aberdeen(Brown)>>,<<3901500142
Ada>>,<<Ada(Hardin)>>,<<3906500198
Adamsville>>,<<Adamsville(Muskingum)>>,<<3911900380
Adario>>,<<Adario>>,<<3913900394
Addison>>,<<Addison(Gallia)>>,<<3905300408
Addyston>>,<<Addyston>>,<<3906100436
Adelphi>>,<<Adelphi>>,<<3914100450
Adena>>,<<Adena>>,<<3908100464
Aid>>,<<Aid>>,<<3908700548
Akron>>,<<Akron(Summit)>>,<<3915301000
Albany>>,<<Albany(Athens)>>,<<3900901042
Alexandria>>,<<Alexandria(Franklin)>>,<<3904901154
Allensville>>,<<Allensville(Vinton)>>,<<3916301378
Alliance>>,<<Alliance(Stark)>>,<<3915101420
Alpha>>,<<Alpha(Greene)>>,<<3905701448
Amanda>>,<<Amanda>>,<<3904501630
Amberley>>,<<Amberley>>,<<3906101672
Amelia>>,<<Amelia(Clermont)>>,<<3902501742
Amesville>>,<<Amesville>>,<<3900901784
Amherst>>,<<Amherst(Lorain)>>,<<3909301798
Amsden>>,<<Amsden>>,<<3914701924
Amsterdam>>,<<Amsterdam(Jefferson)>>,<<3908101938
Ancor>>,<<Ancor>>,<<3906101966
Andersonville>>,<<Andersonville(Ross)>>,<<3914102022
Andover>>,<<Andover(Ashtabula)>>,<<3900702050
Ankenytown>>,<<Ankenytown>>,<<3908302078
Anna>>,<<Anna(Shelby)>>,<<3914902092
Ansonia>>,<<Ansonia(Darke)>>,<<3903702120
Antrim>>,<<Antrim(Guernsey)>>,<<3905902176
Antwerp>>,<<Antwerp(Paulding)>>,<<3912502204
Apple Creek>>,<<Apple Creek>>,<<3916902232
Arabia>>,<<Arabia(Lawrence)>>,<<3908702288
Arcanum>>,<<Arcanum>>,<<3903702330
Archbold>>,<<Archbold>>,<<3905102344
Arlington>>,<<Arlington(Hancock)>>,<<3906302400
Armstrong Mills>>,<<Armstrong Mills>>,<<3901302484
Ashland>>,<<Ashland(Ashland)>>,<<3900502568
Ashley>>,<<Ashley(Delaware)>>,<<3904102582
Ashtabula>>,<<Ashtabula>>,<<3900702638
Athalia>>,<<Athalia>>,<<3908702722
Athens>>,<<Athens(Athens)>>,<<3900902736
Attica>>,<<Attica(Seneca)>>,<<3914702820
Atwater>>,<<Atwater(Portage)>>,<<3913302848
Auburn>>,<<Auburn(Butler)>>,<<3901702876
Austinburg>>,<<Austinburg>>,<<3900703142
Austintown>>,<<Austintown>>,<<3909903184
Ava>>,<<Ava(Noble)>>,<<3912103240
Avon>>,<<Avon(Lorain)>>,<<3909303352
Avon Lake>>,<<Avon Lake>>,<<3909303464
Bainbridge>>,<<Bainbridge(Ross)>>,<<3914103604
Baltic>>,<<Baltic(Tuscarawas)>>,<<3915703744
Baltimore>>,<<Baltimore(Fairfield)>>,<<3904503758
Barberton>>,<<Barberton>>,<<3915303828
Barnesville>>,<<Barnesville(Belmont)>>,<<3901303926
Bartles>>,<<Bartles>>,<<3908704010
Bartlett>>,<<Bartlett(Washington)>>,<<3916704024
Barton>>,<<Barton(Belmont)>>,<<3901304066
Batavia>>,<<Batavia(Clermont)>>,<<3902504150
Bay Village>>,<<Bay Village>>,<<3903504416
Beach City>>,<<Beach City>>,<<3915104458
Beallsville>>,<<Beallsville(Monroe)>>,<<3911104542
Beaver>>,<<Beaver(Pike)>>,<<3913104696
Beavercreek>>,<<Beavercreek>>,<<3905704720
Beaverdam>>,<<Beaverdam>>,<<3900304752
Bedford>>,<<Bedford(Cuyahoga)>>,<<3903504878
Bedford Heights>>,<<Bedford Heights>>,<<3903504920
Bellaire>>,<<Bellaire(Belmont)>>,<<3901305074
Belle Valley>>,<<Belle Valley>>,<<3902105158
Bellefontaine>>,<<Bellefontaine(Logan)>>,<<3909105130
Bellevue>>,<<Bellevue(Huron)>>,<<3907705228
Bellville>>,<<Bellville(Richland)>>,<<3913905284
Belmore>>,<<Belmore>>,<<3913705396
Belpre>>,<<Belpre(Washington)>>,<<3916705424
Bentleyville>>,<<Bentleyville(Cuyahoga)>>,<<3903505550
Benton Ridge>>,<<Benton Ridge>>,<<3906305662
Bentonville>>,<<Bentonville(Adams)>>,<<3900105676
Berea>>,<<Berea(Cuyahoga)>>,<<3903505690
Bergholz>>,<<Bergholz>>,<<3908105718
Berlin>>,<<Berlin(Holmes)>>,<<3907505816
Berlin Heights>>,<<Berlin Heights>>,<<3904305900
Bethany>>,<<Bethany(Butler)>>,<<3901706040
Bethel>>,<<Bethel(Clermont)>>,<<3902506068
Bethesda>>,<<Bethesda(Belmont)>>,<<3901306138
Bevis>>,<<Bevis>>,<<3906106264
Bexley>>,<<Bexley>>,<<3904906278
Big Plain>>,<<Big Plain>>,<<3909706376
Big Prairie>>,<<Big Prairie>>,<<3907506390
Bladensburg>>,<<Bladensburg(Knox)>>,<<3908306740
Blakeslee>>,<<Blakeslee(Williams)>>,<<3917106810
Blanchester>>,<<Blanchester>>,<<3902706908
Blissfield>>,<<Blissfield(Coshocton)>>,<<3903106936
Bloomingburg>>,<<Bloomingburg>>,<<3904707188
Bloomingdale>>,<<Bloomingdale(Jefferson)>>,<<3908107202
Bloomville>>,<<Bloomville>>,<<3914707286
Blue Ash>>,<<Blue Ash>>,<<3906107300
Blue Ball>>,<<Blue Ball(Butler)>>,<<3901707328
Blue Rock>>,<<Blue Rock>>,<<3911907384
Bluffton>>,<<Bluffton(Allen)>>,<<3900307426
Boardman>>,<<Boardman(Mahoning)>>,<<3909907454
Botkins>>,<<Botkins>>,<<3914907832
Bowersville>>,<<Bowersville(Greene)>>,<<3905707930
Bowling Green>>,<<Bowling Green(Wood)>>,<<3917307972
Bradner>>,<<Bradner>>,<<3917308112
Branch Hill>>,<<Branch Hill>>,<<3902508280
Brandon>>,<<Brandon(Knox)>>,<<3908308294
Bratenahl>>,<<Bratenahl>>,<<3903508336
Brecksville>>,<<Brecksville>>,<<3903508364
Brecon>>,<<Brecon>>,<<3906108378
Bremen>>,<<Bremen(Fairfield)>>,<<3904508392
Brentwood>>,<<Brentwood(Hamilton)>>,<<3906108406
Brentwood Lake>>,<<Brentwood Lake>>,<<3909308448
Brewster>>,<<Brewster(Stark)>>,<<3915108504
Brice>>,<<Brice(Franklin)>>,<<3904908532
Bridgetown>>,<<Bridgetown(Hamilton)>>,<<3906108602
Broadview Heights>>,<<Broadview Heights>>,<<3903509064
Broadway>>,<<Broadway(Union)>>,<<3915909078
Brook Park>>,<<Brook Park(Cuyahoga)>>,<<3903509288
Brooklyn>>,<<Brooklyn(Cuyahoga)>>,<<3903509246
Brooklyn Heights>>,<<Brooklyn Heights>>,<<3903509274
Brownsville>>,<<Brownsville(Monroe)>>,<<3911109610
Brunswick>>,<<Brunswick(Medina)>>,<<3910309680
Bryan>>,<<Bryan(Williams)>>,<<3917109792
Buckland>>,<<Buckland(Auglaize)>>,<<3901109974
Bucyrus>>,<<Bucyrus(Crawford)>>,<<3903310030
Buena Vista>>,<<Buena Vista(Fayette)>>,<<3904710072
Buffalo>>,<<Buffalo(Guernsey)>>,<<3905910128
Buford>>,<<Buford(Highland)>>,<<3907110156
Burgoon>>,<<Burgoon>>,<<3914310282
Burkettsville>>,<<Burkettsville>>,<<3910710296
Butler>>,<<Butler(Richland)>>,<<3913910632
Byer>>,<<Byer>>,<<3907910688
Byesville>>,<<Byesville>>,<<3905910716
Byhalia>>,<<Byhalia(Union)>>,<<3915910730
Cadiz>>,<<Cadiz(Harrison)>>,<<3906710800
Cairo>>,<<Cairo(Allen)>>,<<3900310884
Caldwell>>,<<Caldwell(Noble)>>,<<3912110940
Cambridge>>,<<Cambridge(Guernsey)>>,<<3905910996
Camden>>,<<Camden(Preble)>>,<<3913511024
Camp Dennison>>,<<Camp Dennison>>,<<3906111150
Campbell>>,<<Campbell(Mahoning)>>,<<3909911066
Campbellstown>>,<<Campbellstown>>,<<3913511094
Canal Fulton>>,<<Canal Fulton>>,<<3915111304
Canal Winchester>>,<<Canal Winchester>>,<<3904511332
