PREFECTURE NAME>>,<<PREFECTURE GMI>>,<<CITY NAME>>,<<CITY GMI>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<PREFECTURE GMI
Kaw City>>,<<4007138800>>,<<Kay County>>,<<USA-OKL071>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007138800
Keefton>>,<<4010138850>>,<<Muskogee County>>,<<USA-OKL101>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010138850
Kellyville>>,<<4003739000>>,<<Creek County>>,<<USA-OKL037>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4003739000
Kenefic>>,<<4001339200>>,<<Bryan County>>,<<USA-OKL013>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4001339200
Kenton>>,<<4002539400>>,<<Cimarron County>>,<<USA-OKL025>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002539400
Keota>>,<<4006139500>>,<<Haskell County>>,<<USA-OKL061>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4006139500
Ketchum>>,<<4003539550>>,<<Craig County>>,<<USA-OKL035>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4003539550
Keyes>>,<<4002539600>>,<<Cimarron County>>,<<USA-OKL025>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002539600
Kiefer>>,<<4003739750>>,<<Creek County>>,<<USA-OKL037>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4003739750
Kingfisher>>,<<4007339850>>,<<Kingfisher County>>,<<USA-OKL073>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007339850
Kingston>>,<<4009539900>>,<<Marshall County>>,<<USA-OKL095>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009539900
Kinta>>,<<4006139950>>,<<Haskell County>>,<<USA-OKL061>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4006139950
Kiowa>>,<<4012140000>>,<<Pittsburg County>>,<<USA-OKL121>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012140000
Knowles>>,<<4000740100>>,<<Beaver County>>,<<USA-OKL007>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4000740100
Komalty>>,<<4007540150>>,<<Kiowa County>>,<<USA-OKL075>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007540150
Konawa>>,<<4013340200>>,<<Seminole County>>,<<USA-OKL133>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013340200
Krebs>>,<<4012140300>>,<<Pittsburg County>>,<<USA-OKL121>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012140300
Kremlin>>,<<4004740400>>,<<Garfield County>>,<<USA-OKL047>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004740400
Lacey>>,<<4007340650>>,<<Kingfisher County>>,<<USA-OKL073>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007340650
Lamar>>,<<4006341250>>,<<Hughes County>>,<<USA-OKL063>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4006341250
Lambert>>,<<4000341300>>,<<Alfalfa County>>,<<USA-OKL003>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4000341300
Lamont>>,<<4005341350>>,<<Grant County>>,<<USA-OKL053>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005341350
Lane>>,<<4000541400>>,<<Atoka County>>,<<USA-OKL005>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4000541400
Langley>>,<<4009741500>>,<<Mayes County>>,<<USA-OKL097>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009741500
Laverne>>,<<4005941700>>,<<Harper County>>,<<USA-OKL059>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005941700
Lawton>>,<<4003141850>>,<<Comanche County>>,<<USA-OKL031>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4003141850
Lebanon>>,<<4009541950>>,<<Marshall County>>,<<USA-OKL095>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009541950
Leedey>>,<<4004342050>>,<<Dewey County>>,<<USA-OKL043>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004342050
Leflore>>,<<4007942150>>,<<Le Flore County>>,<<USA-OKL079>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007942150
Lehigh>>,<<4002942200>>,<<Coal County>>,<<USA-OKL029>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002942200
Lenapah>>,<<4010542300>>,<<Nowata County>>,<<USA-OKL105>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010542300
Lenora>>,<<4004342400>>,<<Dewey County>>,<<USA-OKL043>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004342400
Leon>>,<<4008542450>>,<<Love County>>,<<USA-OKL085>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008542450
Leonard>>,<<4014342500>>,<<Tulsa County>>,<<USA-OKL143>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014342500
Lexington>>,<<4002742700>>,<<Cleveland County>>,<<USA-OKL027>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002742700
Lima>>,<<4013343000>>,<<Seminole County>>,<<USA-OKL133>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013343000
Lindsay>>,<<4004943150>>,<<Garvin County>>,<<USA-OKL049>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004943150
Loco>>,<<4013743450>>,<<Stephens County>>,<<USA-OKL137>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013743450
Locust Grove>>,<<4009743500>>,<<Mayes County>>,<<USA-OKL097>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009743500
Logan>>,<<4000743650>>,<<Beaver County>>,<<USA-OKL007>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4000743650
Lone Wolf>>,<<4007543850>>,<<Kiowa County>>,<<USA-OKL075>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007543850
Longdale>>,<<4001143950>>,<<Blaine County>>,<<USA-OKL011>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4001143950
Lookeba>>,<<4001544000>>,<<Caddo County>>,<<USA-OKL015>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4001544000
Loveland>>,<<4014144150>>,<<Tillman County>>,<<USA-OKL141>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014144150
Lovell>>,<<4008344200>>,<<Logan County>>,<<USA-OKL083>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008344200
Lucien>>,<<4010344350>>,<<Noble County>>,<<USA-OKL103>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010344350
Lugert>>,<<4007544400>>,<<Kiowa County>>,<<USA-OKL075>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007544400
Lula>>,<<4012344450>>,<<Pontotoc County>>,<<USA-OKL123>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012344450
Luther>>,<<4010944500>>,<<Oklahoma County>>,<<USA-OKL109>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010944500
Lutie>>,<<4007744550>>,<<Latimer County>>,<<USA-OKL077>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007744550
Mackie>>,<<4012945075>>,<<Roger Mills County>>,<<USA-OKL129>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012945075
Madill>>,<<4009545750>>,<<Marshall County>>,<<USA-OKL095>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009545750
Manchester>>,<<4005346000>>,<<Grant County>>,<<USA-OKL053>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005346000
Mangum>>,<<4005546050>>,<<Greer County>>,<<USA-OKL055>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005546050
Manitou>>,<<4014146150>>,<<Tillman County>>,<<USA-OKL141>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014146150
Mannsville>>,<<4006946300>>,<<Johnston County>>,<<USA-OKL069>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4006946300
Maramec>>,<<4011746400>>,<<Pawnee County>>,<<USA-OKL117>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011746400
Marble City>>,<<4013546450>>,<<Sequoyah County>>,<<USA-OKL135>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013546450
Marietta>>,<<4008546500>>,<<Love County>>,<<USA-OKL085>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008546500
Marland>>,<<4010346550>>,<<Noble County>>,<<USA-OKL103>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010346550
Marlow>>,<<4013746600>>,<<Stephens County>>,<<USA-OKL137>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013746600
Marshall>>,<<4008346650>>,<<Logan County>>,<<USA-OKL083>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008346650
Martha>>,<<4006546700>>,<<Jackson County>>,<<USA-OKL065>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4006546700
Maud>>,<<4013346900>>,<<Seminole County>>,<<USA-OKL133>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013346900
May>>,<<4005947000>>,<<Harper County>>,<<USA-OKL059>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005947000
Mayfield>>,<<4000947100>>,<<Beckham County>>,<<USA-OKL009>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4000947100
Maysville>>,<<4004947150>>,<<Garvin County>>,<<USA-OKL049>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004947150
Mazie>>,<<4009747200>>,<<Mayes County>>,<<USA-OKL097>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009747200
McAlester>>,<<4012144800>>,<<Pittsburg County>>,<<USA-OKL121>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012144800
McCurtain>>,<<4006144950>>,<<Haskell County>>,<<USA-OKL061>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4006144950
McKnight>>,<<4005745150>>,<<Harmon County>>,<<USA-OKL057>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005745150
McLoud>>,<<4012545350>>,<<Pottawatomie County>>,<<USA-OKL125>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012545350
McQueen>>,<<4005745575>>,<<Harmon County>>,<<USA-OKL057>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005745575
McWillie>>,<<4000345650>>,<<Alfalfa County>>,<<USA-OKL003>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4000345650
Mead>>,<<4001347250>>,<<Bryan County>>,<<USA-OKL013>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4001347250
Medford>>,<<4005347300>>,<<Grant County>>,<<USA-OKL053>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005347300
Meeker>>,<<4008147450>>,<<Lincoln County>>,<<USA-OKL081>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008147450
Meers>>,<<4003147500>>,<<Comanche County>>,<<USA-OKL031>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4003147500
Meno>>,<<4009347750>>,<<Major County>>,<<USA-OKL093>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009347750
Miami>>,<<4011548000>>,<<Ottawa County>>,<<USA-OKL115>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011548000
Middleberg>>,<<4005148100>>,<<Grady County>>,<<USA-OKL051>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005148100
Midwest City>>,<<4010948350>>,<<Oklahoma County>>,<<USA-OKL109>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010948350
Mill Creek>>,<<4006948500>>,<<Johnston County>>,<<USA-OKL069>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4006948500
Minco>>,<<4005148750>>,<<Grady County>>,<<USA-OKL051>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005148750
Mocane>>,<<4000748950>>,<<Beaver County>>,<<USA-OKL007>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4000748950
Monroe>>,<<4007949050>>,<<Le Flore County>>,<<USA-OKL079>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007949050
Moodys>>,<<4002149100>>,<<Cherokee County>>,<<USA-OKL021>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002149100
Moore>>,<<4002749200>>,<<Cleveland County>>,<<USA-OKL027>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002749200
Mooreland>>,<<4015349250>>,<<Woodward County>>,<<USA-OKL153>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4015349250
Moorewood>>,<<4003949300>>,<<Custer County>>,<<USA-OKL039>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4003949300
Morris>>,<<4011149400>>,<<Okmulgee County>>,<<USA-OKL111>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011149400
Morrison>>,<<4010349450>>,<<Noble County>>,<<USA-OKL103>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010349450
Mounds>>,<<4003749550>>,<<Creek County>>,<<USA-OKL037>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4003749550
Mountain Park>>,<<4007549600>>,<<Kiowa County>>,<<USA-OKL075>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007549600
Mouser>>,<<4013949740>>,<<Texas County>>,<<USA-OKL139>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013949740
Moyers>>,<<4012749750>>,<<Pushmataha County>>,<<USA-OKL127>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012749750
Muldrow>>,<<4013549850>>,<<Sequoyah County>>,<<USA-OKL135>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013549850
Mulhall>>,<<4008349900>>,<<Logan County>>,<<USA-OKL083>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008349900
Muskogee>>,<<4010150050>>,<<Muskogee County>>,<<USA-OKL101>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010150050
Mustang>>,<<4001750100>>,<<Canadian County>>,<<USA-OKL017>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4001750100
Nash>>,<<4005350300>>,<<Grant County>>,<<USA-OKL053>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005350300
Nashoba>>,<<4012750350>>,<<Pushmataha County>>,<<USA-OKL127>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012750350
Nelagoney>>,<<4011350800>>,<<Osage County>>,<<USA-OKL113>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011350800
Newcastle>>,<<4008751200>>,<<McClain County>>,<<USA-OKL087>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008751200
Newkirk>>,<<4007151300>>,<<Kay County>>,<<USA-OKL071>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007151300
Nicoma Park>>,<<4010951850>>,<<Oklahoma County>>,<<USA-OKL109>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010951850
Ninnekah>>,<<4005152100>>,<<Grady County>>,<<USA-OKL051>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005152100
Noble>>,<<4002752150>>,<<Cleveland County>>,<<USA-OKL027>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002752150
Norge>>,<<4005152450>>,<<Grady County>>,<<USA-OKL051>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005152450
Norman>>,<<4002752500>>,<<Cleveland County>>,<<USA-OKL027>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002752500
North Enid>>,<<4004752577>>,<<Garfield County>>,<<USA-OKL047>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004752577
Nowata>>,<<4010552900>>,<<Nowata County>>,<<USA-OKL105>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010552900
Nuyaka>>,<<4011153150>>,<<Okmulgee County>>,<<USA-OKL111>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011153150
Oakhurst>>,<<4014353350>>,<<Tulsa County>>,<<USA-OKL143>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014353350
Oaks>>,<<4004153550>>,<<Delaware County>>,<<USA-OKL041>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004153550
Oakwood>>,<<4004353600>>,<<Dewey County>>,<<USA-OKL043>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004353600
Ochelata>>,<<4014753700>>,<<Washington County>>,<<USA-OKL147>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014753700
Octavia>>,<<4007953750>>,<<Le Flore County>>,<<USA-OKL079>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007953750
Oglesby>>,<<4014753850>>,<<Washington County>>,<<USA-OKL147>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014753850
Oil City>>,<<4013753975>>,<<Stephens County>>,<<USA-OKL137>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013753975
Oilton>>,<<4003754000>>,<<Creek County>>,<<USA-OKL037>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4003754000
Okarche>>,<<4001754050>>,<<Canadian County>>,<<USA-OKL017>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4001754050
Okay>>,<<4014554100>>,<<Wagoner County>>,<<USA-OKL145>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014554100
Okeene>>,<<4001154150>>,<<Blaine County>>,<<USA-OKL011>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4001154150
Okemah>>,<<4010754200>>,<<Okfuskee County>>,<<USA-OKL107>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010754200
Oklahoma City>>,<<4010955000>>,<<Oklahoma County>>,<<USA-OKL109>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010955000
Okmulgee>>,<<4011155150>>,<<Okmulgee County>>,<<USA-OKL111>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011155150
Oktaha>>,<<4010155200>>,<<Muskogee County>>,<<USA-OKL101>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010155200
Olustee>>,<<4006555450>>,<<Jackson County>>,<<USA-OKL065>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4006555450
Oologah>>,<<4013155750>>,<<Rogers County>>,<<USA-OKL131>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013155750
Optima>>,<<4013955850>>,<<Texas County>>,<<USA-OKL139>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4013955850
Orienta>>,<<4009355900>>,<<Major County>>,<<USA-OKL093>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009355900
Orion>>,<<4009356000>>,<<Major County>>,<<USA-OKL093>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009356000
Orlando>>,<<4008356050>>,<<Logan County>>,<<USA-OKL083>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008356050
Orr>>,<<4008556100>>,<<Love County>>,<<USA-OKL085>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008556100
Overbrook>>,<<4008556550>>,<<Love County>>,<<USA-OKL085>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008556550
Owasso>>,<<4014356650>>,<<Tulsa County>>,<<USA-OKL143>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014356650
Paden>>,<<4010756800>>,<<Okfuskee County>>,<<USA-OKL107>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010756800
Page>>,<<4007956850>>,<<Le Flore County>>,<<USA-OKL079>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007956850
Panama>>,<<4007956900>>,<<Le Flore County>>,<<USA-OKL079>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007956900
Park Hill>>,<<4002157300>>,<<Cherokee County>>,<<USA-OKL021>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002157300
Pauls Valley>>,<<4004957550>>,<<Garvin County>>,<<USA-OKL049>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004957550
Pawhuska>>,<<4011357600>>,<<Osage County>>,<<USA-OKL113>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011357600
Pawnee>>,<<4011757650>>,<<Pawnee County>>,<<USA-OKL117>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011757650
Pearson>>,<<4012557800>>,<<Pottawatomie County>>,<<USA-OKL125>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012557800
Peckham>>,<<4007157900>>,<<Kay County>>,<<USA-OKL071>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007157900
Peggs>>,<<4002157950>>,<<Cherokee County>>,<<USA-OKL021>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4002157950
Perkins>>,<<4011958150>>,<<Payne County>>,<<USA-OKL119>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011958150
Pernell>>,<<4004958200>>,<<Garvin County>>,<<USA-OKL049>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004958200
Perry>>,<<4010358250>>,<<Noble County>>,<<USA-OKL103>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010358250
Picher>>,<<4011558550>>,<<Ottawa County>>,<<USA-OKL115>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011558550
Pickens>>,<<4008958600>>,<<McCurtain County>>,<<USA-OKL089>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008958600
Pierce>>,<<4009158750>>,<<McIntosh County>>,<<USA-OKL091>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009158750
Pocasset>>,<<4005159700>>,<<Grady County>>,<<USA-OKL051>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005159700
Ponca City>>,<<4007159850>>,<<Kay County>>,<<USA-OKL071>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007159850
Pond Creek>>,<<4005359950>>,<<Grant County>>,<<USA-OKL053>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4005359950
Porter>>,<<4014560150>>,<<Wagoner County>>,<<USA-OKL145>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014560150
Porum>>,<<4010160250>>,<<Muskogee County>>,<<USA-OKL101>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4010160250
Poteau>>,<<4007960350>>,<<Le Flore County>>,<<USA-OKL079>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4007960350
Powell>>,<<4009560450>>,<<Marshall County>>,<<USA-OKL095>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009560450
Prague>>,<<4008160500>>,<<Lincoln County>>,<<USA-OKL081>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008160500
Preston>>,<<4011160650>>,<<Okmulgee County>>,<<USA-OKL111>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011160650
Pryor>>,<<4009761000>>,<<Mayes County>>,<<USA-OKL097>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4009761000
Purcell>>,<<4008761150>>,<<McClain County>>,<<USA-OKL087>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4008761150
Purdy>>,<<4004961200>>,<<Garvin County>>,<<USA-OKL049>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004961200
Putnam>>,<<4004361250>>,<<Dewey County>>,<<USA-OKL043>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4004361250
Quinlan>>,<<4015361500>>,<<Woodward County>>,<<USA-OKL153>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4015361500
Quinton>>,<<4012161550>>,<<Pittsburg County>>,<<USA-OKL121>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4012161550
Ralston>>,<<4011761650>>,<<Pawnee County>>,<<USA-OKL117>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4011761650
Ramona>>,<<4014761700>>,<<Washington County>>,<<USA-OKL147>>,<<Oklahoma>>,<<USA-OKL>>,<<United States>>,<<USA>>,<<4014761700
